Comments,Happy,Thankful,Hopeful ,Sad,Angry,Scared,Thanks/Praise God,Punishment from God,Angry at God,Let's Pray/Amen,Against Religion,Giving Info,Asking for Info,Thanks PAGASA,BOO Pagasa,Family/Relatives,Filipinos,Safety,Approving Science,Against Science,WOO Gov Efforts,BOO Gov Efforts,Name,Date (Dec 2014),Likes,Tagging,Against Other's Comments
"Jinky Valencia Nakakatakot Like · Reply · December 7, 2014 at 6:00pm",,,,,,1,,,,,,,,,,,,,,,,,,"December 7, 2014 at 6:00pm",,,
,0,0,1,1,0,1,2,0,0,4,0,11,4,1,0,0,0,2,0,0,0,0,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emotion,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Religion,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Info,15,,,,,,,,,,,,,,,,,,,,,,,,,,
Thanks PAGASA,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Family,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Safety,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Government,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.facebook.com/PAGASA.DOST.GOV.PH/photos/a.302759263167323.64041.302746419835274/718162041627041/?type=3&src=https%3A%2F%2Ffbcdn-sphotos-b-a.akamaihd.net%2Fhphotos-ak-xaf1%2Ft31.0-8%2F1015474_718162041627041_7766937089392898866_o.jpg&smallsrc=https%3A%2F%2Ffbcdn-sphotos-b-a.akamaihd.net%2Fhphotos-ak-xfp1%2Fv%2Ft1.0-9%2F10173582_718162041627041_7766937089392898866_n.jpg%3Foh%3Ddd3e0091913efbc83b57223fa358493e%26oe%3D5604637F%26__gda__%3D1439593974_c44e8d1af85586cc9c46bc093dabdd12&size=1018%2C782&fbid=718162041627041,,,,,,,,,,,,,,,,,,,,,,,,,,,
